iter	RMSE
281	95863.9509
282	95827.30258
283	95790.50839
284	95762.63357
285	95735.0168
286	95705.10319
287	95674.72957
288	95646.6207
289	95613.73996
290	95590.56055
291	95560.69305
292	95529.6481
293	95509.91267
294	95481.23547
295	95452.81197
296	95411.2994
297	95373.32771
298	95340.29562
299	95315.63429
300	95275.26498
301	95244.15813
302	95205.06738
303	95174.33777
304	95112.96025
305	95089.86551
306	95052.47856
307	95024.27686
308	94996.24726
309	94979.30554
310	94952.5813
311	94936.75232
312	94906.06054
313	94869.04195
314	94839.46401
315	94807.96861
316	94788.45476
317	94756.35073
318	94725.20131
319	94698.48096
320	94676.81439
321	94647.37022
322	94635.11665
323	94615.72777
324	94599.19041
325	94572.57172
326	94551.2764
327	94533.52001
328	94498.33933
329	94464.58049
330	94417.2692
331	94393.36033
332	94349.81592
333	94323.4646
334	94300.91705
335	94276.46809
336	94260.21638
337	94237.48812
338	94202.46617
339	94167.37349
340	94139.12034
341	94112.21812
342	94084.06575
343	94044.55073
344	94019.62452
345	93997.41292
346	93977.49813
347	93933.78054
348	93909.51256
349	93880.91756
350	93861.41115
351	93836.96959
352	93804.25873
353	93768.35408
354	93716.72614
355	93680.00498
356	93644.23604
357	93619.87233
358	93575.81684
359	93551.95768
360	93532.03489
361	93498.17258
362	93474.4308
363	93437.1593
364	93410.81297
365	93394.85551
366	93377.8214
367	93353.52748
368	93321.06667
369	93301.07163
370	93273.41327
371	93242.68728
372	93220.23285
373	93183.90565
374	93163.87047
375	93122.85123
376	93106.96571
377	93094.82322
378	93074.17934
379	93049.04749
380	93006.9746
381	92988.38761
382	92956.531
383	92937.10978
384	92913.36886
385	92888.97204
386	92866.24061
387	92836.71409
388	92808.50383
389	92768.29515
390	92741.05865
391	92715.52306
392	92693.53279
393	92662.5002
394	92637.39888
395	92618.25701
396	92601.78377
397	92579.08408
398	92555.71417
399	92527.03319
400	92504.71594
401	92460.59902
402	92428.53935
403	92397.86634
404	92369.5037
405	92353.23542
406	92333.87127
407	92309.6786
408	92284.08313
409	92262.33237
410	92234.47022
411	92194.68977
412	92171.04693
413	92140.83635
414	92121.88348
415	92106.53884
416	92074.37086
417	92044.90291
418	92019.06209
419	91993.83799
420	91976.09564
421	91942.75129
422	91911.54071
423	91878.57998
424	91843.12255
425	91821.96264
426	91799.66524
427	91780.24036
428	91739.61228
429	91708.99136
430	91671.31687
431	91635.59373
432	91615.35033
433	91580.9005
434	91545.62656
435	91522.88917
436	91517.15276
437	91495.71971
438	91460.15224
439	91442.25469
440	91413.71286
441	91379.65159
442	91360.98002
443	91329.16547
444	91321.61068
445	91297.36472
446	91273.07395
447	91249.50927
448	91225.42683
449	91198.41061
450	91172.21361
451	91153.80441
452	91118.53309
453	91089.20078
454	91057.75936
455	91022.98903
456	91008.63715
457	90968.09759
458	90932.46348
459	90909.91866
460	90895.03069
461	90856.57953
462	90834.928
463	90819.70488
464	90785.43679
465	90767.5903
466	90749.68526
467	90726.22044
468	90712.28376
469	90695.98236
470	90675.33979
471	90654.47788
472	90625.76578
473	90603.53814
474	90573.86925
475	90556.78064
476	90534.56681
477	90502.88627
478	90483.49521
479	90462.46731
480	90439.80775
481	90420.06517
482	90399.20849
483	90368.96764
484	90339.22292
485	90314.20654
486	90288.98579
487	90250.16801
488	90215.76806
489	90182.67723
490	90149.27372
491	90128.54928
492	90108.07728
493	90071.31572
494	90042.20312
495	90014.70883
496	89993.69511
497	89972.35333
498	89941.83876
499	89931.46804
500	89893.58335
501	89871.4383
502	89851.02196
503	89824.82932
504	89803.07614
505	89785.40563
506	89766.53772
507	89745.06202
508	89724.19264
509	89696.57538
510	89674.55216
511	89653.01451
512	89636.51878
513	89612.04636
514	89591.1692
515	89557.24255
516	89525.21251
517	89500.6638
518	89483.00616
519	89462.19804
520	89442.09056
521	89418.23066
522	89398.61018
523	89374.22261
524	89349.33559
525	89324.68819
526	89297.60414
527	89263.72068
528	89238.75765
529	89224.38875
530	89202.77179
531	89185.73955
532	89163.82834
533	89150.37135
534	89119.74868
535	89104.12402
536	89081.02539
537	89053.6919
538	89017.12029
539	88995.30071
540	88974.69082
541	88947.29083
542	88919.34961
543	88906.16869
544	88874.33663
545	88857.25524
546	88813.64023
547	88789.60352
548	88764.52005
549	88736.33863
550	88717.75853
551	88692.91741
552	88664.3554
553	88648.76543
554	88627.12661
555	88592.31849
556	88554.03366
557	88526.09076
558	88508.73049
559	88482.45372
560	88469.29762
561	88441.17693
562	88430.01989
563	88412.93949
564	88389.6359
565	88362.70737
566	88339.41595
567	88304.33014
568	88279.42739
569	88256.67791
570	88221.65251
571	88195.50515
572	88170.2975
573	88143.89272
574	88112.93354
575	88093.4395
576	88067.42018
577	88053.21315
578	88020.42246
579	87995.48554
580	87963.55444
581	87938.53509
582	87921.57342
583	87900.18993
584	87879.45353
585	87856.62903
586	87833.32368
587	87797.95571
588	87772.6893
589	87747.97731
590	87735.04945
591	87711.0745
592	87680.1348
593	87650.30337
594	87624.20373
595	87610.45645
596	87597.49015
597	87569.92047
598	87535.55574
599	87520.79937
600	87501.91391
601	87486.70008
602	87458.74465
603	87442.22319
604	87412.34765
605	87390.50697
606	87366.17745
607	87347.53679
608	87329.84435
609	87309.53197
610	87286.56938
611	87269.11875
612	87251.66182
613	87234.7376
614	87208.04199
615	87182.90221
616	87164.4883
617	87140.75831
618	87115.54266
619	87105.65169
620	87074.0004
621	87048.57211
622	87028.75257
623	87008.84387
624	86981.06369
625	86966.71572
626	86937.53537
627	86926.45637
628	86908.44013
629	86882.43351
630	86861.95317
631	86837.57507
632	86803.14594
633	86780.48337
634	86750.80321
635	86722.47253
636	86705.09692
637	86683.83414
638	86650.7683
639	86626.10206
640	86598.60324
641	86581.1014
642	86557.1479
643	86530.27233
644	86517.41198
645	86494.92564
646	86467.85428
647	86440.74758
648	86419.75473
649	86401.56822
650	86387.07356
651	86367.66962
652	86353.56512
653	86335.18918
654	86300.74748
655	86280.19939
656	86253.04587
657	86233.58979
658	86212.82246
659	86195.51204
660	86177.9304
661	86148.7072
662	86119.45115
663	86102.8435
664	86074.51497
665	86040.47006
666	86019.61112
667	85980.46252
668	85947.91448
669	85926.1755
670	85896.7239
671	85883.07729
672	85859.8467
673	85837.96591
674	85812.74872
675	85786.81344
676	85752.76577
677	85727.8891
678	85708.68424
679	85684.58067
680	85665.3111
681	85640.88501
682	85620.35881
683	85595.14585
684	85581.69676
685	85545.43548
686	85516.44211
687	85495.41658
688	85480.065
689	85455.85415
690	85442.82763
691	85429.89902
692	85404.58792
693	85368.00407
694	85344.79698
695	85326.69897
696	85310.17087
697	85278.6914
698	85260.74848
699	85239.95744
700	85215.15
701	85197.42889
702	85169.5042
703	85140.49714
704	85127.22465
705	85103.8139
706	85086.18341
707	85061.30627
708	85032.44874
709	85013.25211
710	84990.63389
711	84970.98487
712	84955.27042
713	84924.68208
714	84900.8627
715	84877.84496
716	84863.9713
717	84847.67986
718	84830.39326
719	84801.97225
720	84776.25061
721	84751.1547
722	84726.69858
723	84701.11994
724	84678.83592
725	84648.19993
726	84628.62536
727	84612.14527
728	84589.84027
729	84571.64122
730	84549.77979
731	84530.21798
732	84499.5827
733	84484.35728
734	84466.52331
735	84453.07226
736	84432.79803
737	84406.67869
738	84386.28776
739	84372.50097
740	84333.95212
741	84315.85406
742	84292.25851
743	84277.6206
744	84262.54589
745	84240.27726
746	84213.38419
747	84189.18597
748	84170.5592
749	84141.63761
750	84104.15888
751	84067.17424
752	84034.18916
753	84010.77204
754	83964.87706
755	83930.644
756	83911.03047
757	83888.18976
758	83873.23979
759	83861.11346
760	83838.87497
761	83816.46564
762	83796.55189
763	83764.018
764	83736.40609
765	83712.04577
766	83688.94149
767	83664.69651
768	83645.56367
769	83630.39853
770	83607.25302
771	83586.07745
772	83569.63554
773	83543.46172
774	83508.83148
775	83487.26265
776	83466.62067
777	83437.18348
778	83421.66454
779	83400.43791
780	83378.50126
781	83352.60719
782	83327.18554
783	83306.89986
784	83280.10618
785	83259.08977
786	83241.0307
787	83215.5583
788	83206.05339
789	83193.96333
790	83171.00177
791	83153.3804
792	83133.30162
793	83119.09702
794	83095.92293
795	83077.81538
796	83056.89934
797	83035.48006
798	83005.63857
799	82985.24409
800	82961.39317
801	82932.91923
802	82910.58407
803	82894.98538
804	82874.32366
805	82857.92159
806	82838.41905
807	82828.02937
808	82809.87606
809	82790.64392
810	82761.82864
811	82736.54687
812	82723.43584
813	82711.12924
814	82692.46694
815	82655.89943
816	82625.95753
817	82603.53159
818	82584.78045
819	82567.35126
820	82551.54229
821	82539.61339
822	82522.16583
823	82502.69351
824	82482.31435
825	82463.63541
826	82441.86173
827	82422.81247
828	82406.95932
829	82387.92266
830	82375.24863
831	82350.89234
832	82329.24835
833	82301.78972
834	82280.67583
835	82266.06407
836	82226.68572
837	82209.94109
838	82181.03926
839	82158.04885
840	82137.70123
841	82118.07709
842	82099.74875
843	82073.98504
844	82055.34661
845	82029.35895
846	82014.43308
847	81999.21743
848	81978.76226
849	81961.72358
850	81938.77816
851	81913.34732
852	81892.27162
853	81866.00863
854	81842.38637
855	81825.97999
856	81805.59019
857	81776.74285
858	81752.08125
859	81737.16342
860	81707.62613
861	81693.44177
862	81662.0696
863	81642.35589
864	81627.11404
865	81600.24009
866	81575.04853
867	81557.51673
868	81546.80783
869	81522.03761
870	81499.54804
871	81479.94581
872	81456.41578
873	81438.46935
874	81416.60707
875	81406.68791
876	81386.73168
877	81375.28463
878	81359.43278
879	81331.70309
880	81302.21026
881	81280.24697
882	81267.02609
883	81246.23561
884	81227.51135
885	81205.26097
886	81194.49044
887	81176.3054
888	81156.5834
889	81140.74514
890	81120.15263
891	81107.71591
892	81089.12812
893	81060.07215
894	81043.46399
895	81027.81858
896	81008.09167
897	80992.7619
898	80962.96718
899	80937.69089
900	80914.55865
901	80893.72789
902	80869.43042
903	80855.74632
904	80836.30606
905	80822.50993
906	80809.684
907	80795.87066
908	80776.41764
909	80762.37657
910	80740.98897
911	80722.98131
912	80710.20818
913	80693.87623
914	80670.2304
915	80656.11806
916	80646.09469
917	80629.20426
918	80608.03027
919	80596.61835
920	80574.54315
921	80551.09972
922	80540.9963
923	80517.06265
924	80500.1783
925	80477.64277
926	80454.89441
927	80438.97824
928	80420.04228
929	80409.57097
930	80380.15478
931	80358.37555
932	80334.386
933	80307.83931
934	80292.7367
935	80276.16958
936	80257.59401
937	80230.57767
938	80213.33916
939	80192.66785
940	80185.11351
941	80154.99411
942	80127.57108
943	80104.81725
944	80075.31099
945	80043.3307
946	80026.33614
947	80014.46052
948	79989.54349
949	79976.07762
950	79937.49666
951	79922.15127
952	79901.9258
953	79888.32322
954	79875.21368
955	79856.58846
956	79836.17749
957	79824.18665
958	79811.81307
959	79780.41516
960	79761.83217
961	79741.65079
962	79713.91847
963	79694.17207
964	79670.97142
965	79657.88849
966	79631.55336
967	79616.31882
968	79596.77845
969	79574.75237
970	79559.43854
971	79534.97461
972	79519.39626
973	79501.71859
974	79488.22528
975	79474.35687
976	79461.20904
977	79444.56521
978	79423.70453
979	79397.86196
980	79378.55935
981	79362.56821
982	79341.69973
983	79317.3158
984	79301.99633
985	79277.43817
986	79250.80028
987	79231.00329
988	79215.57553
989	79201.77897
990	79182.92802
991	79170.47845
992	79147.50288
993	79133.90779
994	79116.68313
995	79093.28536
996	79073.7896
997	79052.59445
998	79036.70014
999	79010.19431
