iter	Passed	Remaining
407	6925	10048
408	6937	10024
409	6950	10002
410	6966	9983
411	6974	9953
412	6993	9939
413	7017	9933
414	7025	9903
415	7056	9905
416	7082	9901
417	7137	9937
418	7152	9917
419	7166	9897
420	7183	9879
421	7197	9858
422	7204	9827
423	7213	9799
424	7226	9777
425	7235	9748
426	7251	9730
427	7263	9707
428	7268	9674
429	7277	9647
430	7284	9616
431	7292	9588
432	7314	9578
433	7328	9557
434	7360	9560
435	7382	9549
436	7399	9532
437	7411	9510
438	7423	9487
439	7439	9469
440	7455	9450
441	7469	9429
442	7482	9407
443	7492	9382
444	7502	9356
445	7512	9331
446	7521	9304
447	7533	9281
448	7545	9259
449	7561	9241
450	7580	9228
451	7606	9222
452	7623	9205
453	7635	9182
454	7643	9155
455	7663	9142
456	7671	9115
457	7682	9091
458	7688	9062
459	7700	9039
460	7717	9023
461	7725	8996
462	7731	8967
463	7743	8945
464	7750	8916
465	7764	8897
466	7777	8876
467	7794	8860
468	7807	8839
469	7830	8830
470	7843	8808
471	7854	8786
472	7868	8766
473	7883	8748
474	7915	8749
475	7938	8738
476	7951	8718
477	7964	8697
478	7978	8678
479	7986	8652
480	8000	8632
481	8012	8610
482	8019	8584
483	8030	8560
484	8046	8544
485	8058	8522
486	8072	8503
487	8078	8476
488	8087	8451
489	8099	8430
490	8105	8402
491	8136	8401
492	8157	8389
493	8168	8367
494	8184	8350
495	8204	8336
496	8217	8316
497	8227	8293
498	8250	8283
499	8261	8261
500	8269	8236
501	8277	8211
502	8297	8198
503	8307	8175
504	8314	8149
505	8326	8129
506	8359	8128
507	8390	8126
508	8400	8103
509	8405	8075
510	8439	8076
511	8449	8053
512	8455	8026
513	8460	7999
514	8468	7974
515	8483	7957
516	8489	7931
517	8500	7909
518	8511	7888
519	8527	7871
520	8538	7850
521	8544	7824
522	8551	7799
523	8562	7777
524	8579	7762
525	8641	7787
526	8656	7769
527	8712	7788
528	8724	7768
529	8738	7748
530	8756	7734
531	8792	7735
532	8807	7716
533	8826	7702
534	8838	7681
535	8856	7666
536	8867	7645
537	8875	7621
538	8888	7602
539	8894	7576
540	8906	7556
541	8925	7542
542	8935	7519
543	8941	7494
544	8949	7471
545	8965	7454
546	8979	7436
547	8991	7416
548	8998	7392
549	9008	7370
550	9016	7347
551	9025	7324
552	9043	7309
553	9054	7288
554	9067	7270
555	9072	7245
556	9080	7222
557	9111	7217
558	9117	7192
559	9124	7168
560	9140	7152
561	9150	7131
562	9162	7111
563	9178	7095
564	9196	7080
565	9205	7058
566	9215	7037
567	9223	7015
568	9234	6995
569	9269	6992
570	9287	6977
571	9300	6959
572	9306	6934
573	9318	6915
574	9329	6895
575	9336	6872
576	9344	6850
577	9351	6827
578	9362	6807
579	9374	6788
580	9383	6767
581	9398	6749
582	9407	6729
583	9425	6714
584	9433	6692
585	9441	6670
586	9449	6648
587	9456	6625
588	9465	6604
589	9479	6587
590	9496	6572
591	9502	6549
592	9513	6529
593	9527	6511
594	9548	6499
595	9564	6483
596	9584	6469
597	9615	6463
598	9630	6447
599	9645	6430
600	9657	6411
601	9671	6394
602	9679	6372
603	9693	6355
604	9710	6339
605	9723	6321
606	9732	6301
607	9739	6279
608	9759	6265
609	9768	6245
610	9779	6225
611	9789	6206
612	9799	6186
613	9818	6172
614	9827	6152
615	9834	6130
616	9842	6109
617	9855	6091
618	9873	6077
619	9891	6062
620	9899	6041
621	9908	6021
622	9919	6002
623	9931	5984
624	9939	5963
625	9954	5947
626	9985	5940
627	10017	5933
628	10037	5920
629	10049	5901
630	10073	5891
631	10084	5871
632	10092	5851
633	10101	5831
634	10124	5819
635	10134	5800
636	10144	5781
637	10164	5767
638	10190	5756
639	10206	5741
640	10225	5726
641	10251	5716
642	10256	5694
643	10266	5675
644	10276	5656
645	10288	5638
646	10298	5618
647	10304	5597
648	10314	5578
649	10322	5558
650	10330	5537
651	10343	5520
652	10349	5499
653	10365	5484
654	10406	5481
655	10430	5469
656	10444	5452
657	10456	5434
658	10460	5412
659	10476	5396
660	10483	5376
661	10490	5356
662	10503	5338
663	10508	5317
664	10517	5298
665	10533	5282
666	10547	5265
667	10567	5252
668	10582	5235
669	10595	5218
670	10617	5205
671	10628	5187
672	10636	5168
673	10647	5149
674	10662	5133
675	10673	5115
676	10683	5097
677	10689	5076
678	10702	5059
679	10709	5039
680	10718	5020
681	10730	5003
682	10737	4983
683	10768	4974
684	10782	4958
685	10796	4942
686	10819	4929
687	10828	4910
688	10837	4891
689	10846	4873
690	10851	4852
691	10868	4837
692	10878	4819
693	10886	4800
694	10895	4781
695	10906	4763
696	10924	4749
697	10938	4732
698	10955	4717
699	10985	4708
700	11000	4692
701	11006	4672
702	11020	4655
703	11031	4638
704	11038	4618
705	11053	4603
706	11065	4586
707	11072	4566
708	11078	4546
709	11095	4531
710	11108	4515
711	11115	4496
712	11121	4476
713	11126	4456
714	11174	4454
715	11190	4438
716	11198	4420
717	11221	4407
718	11227	4388
719	11235	4369
720	11244	4351
721	11254	4333
722	11275	4319
723	11287	4303
724	11295	4284
725	11306	4267
726	11313	4248
727	11320	4229
728	11327	4210
729	11333	4191
730	11343	4174
731	11359	4159
732	11368	4141
733	11377	4123
734	11396	4108
735	11404	4090
736	11413	4072
737	11424	4055
738	11435	4038
739	11449	4022
740	11463	4006
741	11474	3989
742	11482	3971
743	11494	3955
744	11504	3937
745	11513	3920
746	11524	3903
747	11532	3885
748	11548	3870
749	11561	3853
750	11572	3836
751	11583	3820
752	11598	3804
753	11616	3790
754	11634	3775
755	11645	3758
756	11655	3741
757	11671	3726
758	11684	3710
759	11697	3693
760	11703	3675
761	11719	3660
762	11736	3645
763	11749	3629
764	11776	3617
765	11788	3601
766	11795	3583
767	11811	3568
768	11837	3555
769	11850	3539
770	11859	3522
771	11868	3505
772	11878	3488
773	11888	3471
774	11897	3454
775	11904	3436
776	11917	3420
777	11931	3404
778	11940	3387
779	11955	3372
780	11971	3356
781	11985	3341
782	11992	3323
783	12005	3307
784	12010	3289
785	12024	3273
786	12033	3256
787	12043	3240
788	12050	3222
789	12062	3206
790	12073	3190
791	12089	3174
792	12097	3157
793	12109	3141
794	12118	3125
795	12157	3115
796	12171	3100
797	12188	3085
798	12202	3069
799	12210	3052
800	12216	3035
801	12226	3018
802	12232	3001
803	12243	2984
804	12258	2969
805	12268	2953
806	12277	2936
807	12284	2919
808	12299	2903
809	12310	2887
810	12319	2871
811	12335	2855
812	12361	2843
813	12391	2831
814	12415	2818
815	12437	2804
816	12448	2788
817	12458	2772
818	12464	2754
819	12472	2737
820	12485	2722
821	12491	2705
822	12503	2689
823	12510	2672
824	12533	2658
825	12555	2644
826	12583	2632
827	12598	2616
828	12608	2600
829	12616	2584
830	12635	2569
831	12647	2553
832	12654	2536
833	12660	2520
834	12670	2503
835	12675	2486
836	12693	2471
837	12702	2455
838	12710	2439
839	12784	2435
840	12800	2420
841	12810	2403
842	12831	2389
843	12844	2374
844	12849	2356
845	12858	2340
846	12865	2323
847	12878	2308
848	12889	2292
849	12894	2275
850	12898	2258
851	12909	2242
852	12923	2227
853	12938	2211
854	12955	2197
855	12973	2182
856	12988	2167
857	13003	2152
858	13013	2136
859	13021	2119
860	13047	2106
861	13060	2090
862	13071	2075
863	13080	2058
864	13089	2042
865	13098	2026
866	13104	2010
867	13109	1993
868	13120	1977
869	13130	1962
870	13158	1948
871	13166	1932
872	13175	1916
873	13189	1901
874	13195	1885
875	13205	1869
876	13212	1853
877	13220	1836
878	13234	1821
879	13238	1805
880	13252	1790
881	13266	1774
882	13275	1759
883	13281	1742
884	13295	1727
885	13301	1711
886	13326	1697
887	13339	1682
888	13358	1667
889	13363	1651
890	13376	1636
891	13384	1620
892	13388	1604
893	13394	1588
894	13401	1572
895	13410	1556
896	13416	1540
897	13443	1527
898	13450	1511
899	13462	1495
900	13471	1480
901	13477	1464
902	13487	1448
903	13497	1433
904	13504	1417
905	13510	1401
906	13522	1386
907	13534	1371
908	13544	1355
909	13553	1340
910	13565	1325
911	13571	1309
912	13581	1294
913	13588	1278
914	13598	1263
915	13604	1247
916	13623	1233
917	13633	1217
918	13648	1203
919	13655	1187
920	13666	1172
921	13670	1156
922	13679	1141
923	13684	1125
924	13691	1110
925	13712	1095
926	13724	1080
927	13730	1065
928	13742	1050
929	13746	1034
930	13759	1019
931	13772	1004
932	13781	989
933	13789	974
934	13805	959
935	13823	945
936	13849	931
937	13857	915
938	13872	901
939	13888	886
940	13902	871
941	13947	858
942	13961	843
943	13974	828
944	13985	813
945	13995	798
946	14009	784
947	14080	772
948	14089	757
949	14107	742
950	14117	727
951	14132	712
952	14170	698
953	14181	683
954	14189	668
955	14205	653
956	14215	638
957	14234	624
958	14279	610
959	14292	595
960	14348	582
961	14365	567
962	14378	552
963	14392	537
964	14404	522
965	14427	507
966	14439	492
967	14446	477
968	14453	462
969	14462	447
970	14469	432
971	14481	417
972	14500	402
973	14531	387
974	14553	373
975	14562	358
976	14572	343
977	14584	328
978	14594	313
979	14616	298
980	14625	283
981	14640	268
982	14647	253
983	14665	238
984	14672	223
985	14681	208
986	14686	193
987	14698	178
988	14714	163
989	14723	148
990	14739	133
991	14749	118
992	14760	104
993	14776	89
994	14782	74
995	14787	59
996	14792	44
997	14804	29
998	14817	14
999	14822	0
